local-authority-code,official-name,league-group,region,local-authority-type-name
ABC,"Armagh City, Banbridge and Craigavon Borough Council",Northern Ireland,Northern Ireland,NI district
ABD,Aberdeenshire Council,Single tier,Scotland,Scottish unitary authority
ABE,Aberdeen City Council,Single tier,Scotland,Scottish unitary authority
ADU,Adur District Council,District councils,South East,Non-metropolitan district
AGB,Argyll and Bute Council,Single tier,Scotland,Scottish unitary authority
AGY,Isle of Anglesey County Council,Single tier,Wales,Welsh unitary authority
ALL,Allerdale Borough Council,District councils,North West,Non-metropolitan district
AMB,Amber Valley Borough Council,District councils,East Midlands,Non-metropolitan district
AND,Ards and North Down Borough Council,Northern Ireland,Northern Ireland,NI district
ANN,Antrim and Newtownabbey Borough Council,Northern Ireland,Northern Ireland,NI district
ANS,Angus Council,Single tier,Scotland,Scottish unitary authority
ARU,Arun District Council,District councils,South East,Non-metropolitan district
ASF,Ashford Borough Council,District councils,South East,Non-metropolitan district
ASH,Ashfield District Council,District councils,East Midlands,Non-metropolitan district
BAB,Babergh District Council,District councils,East of England,Non-metropolitan district
BAE,Bassetlaw District Council,District councils,East Midlands,Non-metropolitan district
BAI,Basildon Borough Council,District councils,East of England,Non-metropolitan district
BAN,Basingstoke and Deane Borough Council,District councils,South East,Non-metropolitan district
BAR,Barrow-in-Furness Borough Council,District councils,North West,Non-metropolitan district
BAS,Bath and North East Somerset Council,Single tier,South West,Unitary authority
BBD,Blackburn with Darwen Borough Council,Single tier,North West,Unitary authority
BDF,Bedford Borough Council,Single tier,East of England,Unitary authority
BDG,London Borough of Barking and Dagenham,Single tier,London,London borough
BEN,London Borough of Brent,Single tier,London,London borough
BEX,London Borough of Bexley,Single tier,London,London borough
BFS,Belfast City Council,Northern Ireland,Northern Ireland,NI district
BGE,Bridgend County Borough Council,Single tier,Wales,Welsh unitary authority
BGW,Blaenau Gwent County Borough Council,Single tier,Wales,Welsh unitary authority
BIR,Birmingham City Council,Single tier,West Midlands,Metropolitan district
BLA,Blaby District Council,District councils,East Midlands,Non-metropolitan district
BNE,London Borough of Barnet,Single tier,London,London borough
BNH,Brighton and Hove City Council,Single tier,South East,Unitary authority
BNS,Barnsley Metropolitan Borough Council,Single tier,Yorkshire and The Humber,Metropolitan district
BOL,Bolton Metropolitan Borough Council,Single tier,North West,Metropolitan district
BOS,Bolsover District Council,District councils,East Midlands,Non-metropolitan district
BOT,Boston Borough Council,District councils,East Midlands,Non-metropolitan district
BPC,"Bournemouth, Christchurch and Poole Council",Single tier,South West,Unitary authority
BPL,Blackpool Borough Council,Single tier,North West,Unitary authority
BRA,Braintree District Council,District councils,East of England,Non-metropolitan district
BRC,Bracknell Forest Council,Single tier,South East,Unitary authority
BRD,City of Bradford Metropolitan District Council,Single tier,Yorkshire and The Humber,Metropolitan district
BRE,Breckland District Council,District councils,East of England,Non-metropolitan district
BRM,Bromsgrove District Council,District councils,West Midlands,Non-metropolitan district
BRO,Broadland District Council,District councils,East of England,Non-metropolitan district
BRT,Broxtowe Borough Council,District councils,East Midlands,Non-metropolitan district
BRW,Brentwood Borough Council,District councils,East of England,Non-metropolitan district
BRX,Broxbourne Borough Council,District councils,East of England,Non-metropolitan district
BRY,London Borough of Bromley,Single tier,London,London borough
BST,Bristol City Council,Single tier,South West,Unitary authority
BUC,Buckinghamshire Council,Single tier,South East,Unitary authority
BUN,Burnley Borough Council,District councils,North West,Non-metropolitan district
BUR,Bury Metropolitan Borough Council,Single tier,North West,Metropolitan district
CAB,Cambridge City Council,District councils,East of England,Non-metropolitan district
CAM,Cambridgeshire County Council,County councils,East of England,County
CAN,Cannock Chase District Council,District councils,West Midlands,Non-metropolitan district
CAR,Carlisle City Council,District councils,North West,Non-metropolitan district
CAS,Castle Point Borough Council,District councils,East of England,Non-metropolitan district
CAT,Canterbury City Council,District councils,South East,Non-metropolitan district
